hour,plug,value
134,11,34217.243000000046
135,3,6.074
135,5,4908.534999999951
135,6,3805.898999999997
135,7,37087.15200000003
135,9,5689.2540000000545
135,11,34011.20500000002
136,0,6116.639000000001
136,3,4.547
136,5,4880.875999999941
136,6,3795.1820000000034
136,7,36957.85200000008
136,8,24180.00999999996
136,9,5712.839000000048
136,11,33820.84900000007
137,3,7.917999999999999
137,4,28794.257999999954
137,5,4790.422999999953
137,6,3739.198999999995
137,7,38400.411000000066
137,9,5693.891000000047
137,11,35074.66900000006
138,0,11253.436000000007
138,3,1.248
138,4,58706.090000000135
138,5,4830.965999999961
138,6,3744.132999999997
138,7,39751.94500000012
138,8,44479.510000000024
138,9,5696.372000000047
138,11,36328.25600000006
139,0,24733.272999999986
139,3,6.9159999999999995
139,4,55302.624999999985
139,5,4855.057999999951
139,6,3782.053999999992
139,7,38950.5390000001
139,8,97303.96299999986
139,9,20949.83900000005
139,11,35701.83000000012
140,0,11099.497999999992
140,3,6.013
140,4,21676.45799999999
140,5,4844.075999999958
140,6,3748.4529999999972
140,7,39447.58400000006
140,8,43623.298999999926
140,9,16836.66600000005
140,11,36155.21900000005
141,0,0.683
141,3,7.414999999999999
141,5,4880.484999999958
141,6,3804.908999999998
141,7,39467.62600000018
141,8,2.756
141,9,6627.878000000065
141,11,36063.594000000085
142,3,9.4
142,5,4880.618999999952
142,6,3793.183999999997
142,7,38404.357000000105
142,9,38951.68099999999
142,11,35195.719000000165
143,3,6.252
143,5,4873.349999999959
143,6,3778.383000000004
143,7,36551.211000000025
143,9,123836.23099999964
143,11,33615.89100000001
144,3,6.096
144,5,4824.077999999957
144,6,3766.4749999999963
144,7,38054.805000000066
144,9,21721.264999999883
144,11,34880.49400000011
145,3,8.636
145,5,4818.771999999969
145,6,3751.2039999999943
145,7,37750.597000000096
145,9,3368.7230000000277
145,11,34552.85700000007
146,3,6.611
146,5,4814.81099999995
146,6,3740.2469999999994
146,7,38382.6470000001
146,9,3328.446000000025
146,11,35167.0650000001
147,3,6.335999999999999
147,5,4813.422999999953
147,6,3744.7580000000044
147,7,37801.15800000007
147,9,3271.4480000000285
147,11,34753.566000000064
148,3,3.58
148,5,4880.747999999949
148,6,3779.7869999999994
148,7,38121.07900000005
148,9,3261.6210000000297
148,11,34745.875000000065
149,3,2.937
149,5,4835.214999999961
149,6,3768.341000000001
149,7,37942.21000000002
149,9,3332.322000000029
149,11,34630.77600000007
150,3,2.93
150,5,4830.546999999958
150,6,3755.221000000005
150,7,37259.44899999996
150,9,3235.378000000024
150,11,34227.939000000035
151,3,5.5089999999999995
151,5,4841.6439999999575
151,6,3753.9620000000027
151,7,37528.34200000002
151,9,3363.7540000000367
151,11,34281.6060000001
152,3,3.5850000000000004
152,5,4780.00099999996
152,6,3722.772000000001
152,7,37357.01900000006
152,9,3360.4240000000304
152,11,34335.72700000009
153,3,3.786
153,5,4824.292999999959
153,6,3753.7430000000068
153,7,37614.90700000005
153,9,3193.3720000000244
153,11,34458.55700000003
154,3,3.12
154,5,4787.442999999962
154,6,3727.1430000000155
154,7,37951.64100000009
154,9,2156.796000000004
154,11,34794.56400000008
155,3,3.688
155,5,4850.7159999999585
155,6,3771.881000000002
155,7,38331.37300000006
155,9,2263.6650000000013
155,11,35095.784000000065
156,3,2.476
156,5,4823.388999999954
156,6,3752.147999999995
156,7,38273.52700000006
156,9,2102.117999999999
156,11,35090.735000000146
157,3,3.5800000000000005
157,5,4834.296999999963
157,6,3749.978999999994
157,7,38670.10400000009
157,9,2184.378000000003
157,11,35337.981000000065
158,3,4.519
158,5,4886.29199999996
158,6,3798.808000000004
158,7,38864.034000000036
158,9,2193.3320000000035
158,11,35556.34600000006
159,3,7.435999999999999
159,5,4829.695999999952
159,6,3776.6400000000035
159,7,38187.112000000074
159,9,23156.501000000044
159,11,35075.35100000005
160,3,10.927
160,5,4849.290999999951
160,6,3777.6260000000066
160,7,37119.988000000056
160,9,38053.84699999991
160,11,34165.23300000006
161,3,4.172000000000001
161,5,4830.827999999966
161,6,3754.5260000000017
161,7,37669.47000000006
161,9,18519.883000000038
161,11,34376.281000000105
162,3,1.96
162,5,4845.649999999949
162,6,3770.7810000000063
162,7,38162.838000000076
162,9,16684.887000000035
162,11,34858.61000000006
163,3,3.786
163,5,4744.150999999965
163,6,3669.1480000000006
163,7,37985.646000000066
163,9,37499.73399999997
163,11,34827.22400000006
164,3,5.607
164,5,4876.110999999971
164,6,3793.6780000000017
164,7,37589.94900000001
164,9,31339.802000000087
164,11,34406.14800000005
165,3,2.393
165,5,4887.143999999957
165,6,3793.7220000000125
165,7,38109.43200000011
165,9,5124.1430000000355
165,11,34824.688000000046
166,3,1.8559999999999999
166,5,4860.836999999947
166,6,3791.1240000000007
166,7,37389.109000000055
166,9,5298.543000000035
166,11,34157.68500000006
167,3,8.064
167,5,4544.745999999964
167,6,3553.179000000004
167,7,37980.2470000001
167,9,5302.690000000052
167,11,34891.744999999915
168,3,4.223
168,5,3596.6629999999814
168,6,2803.438999999998
168,7,37588.97600000001
168,9,5237.805000000038
168,11,34490.45900000005
169,3,4.242999999999999
